k    precision    recall    f-score
1      0.671       0.67       0.67
6      0.681       0.681       0.68
11      0.701       0.692       0.691
16      0.717       0.699       0.698
21      0.729       0.703       0.703
26      0.741       0.708       0.709
31      0.748       0.709       0.71
36      0.755       0.71       0.711
41      0.761       0.712       0.713
46      0.766       0.713       0.714
51      0.771       0.715       0.716
56      0.773       0.715       0.717
61      0.778       0.717       0.719
66      0.782       0.718       0.72
71      0.786       0.719       0.721
76      0.788       0.719       0.721
81      0.79       0.719       0.721
86      0.792       0.719       0.722
91      0.794       0.72       0.722
96      0.798       0.721       0.724
