Category    precision    recall    f-score    Size
1     0.91004      0.60008      0.72325      7299
2     0.99798      0.63453      0.7758      2334
3     0.99643      0.63311      0.77427      2205
4     1.0      0.62809      0.77157      1659
5     0.99697      0.60664      0.7543      2710
6     0.9984      0.59037      0.74199      2119
7     0.99561      0.58687      0.73845      3091
8     0.98716      0.59958      0.74603      6156
9     0.89624      0.60706      0.72384      9177
10     0.54879      0.97873      0.70325      17016
Total:     0.825       0.724       0.729      53766
