k    precision    recall    f-score
5      0.676       0.677       0.676
15      0.713       0.697       0.696
25      0.74       0.708       0.708
35      0.754       0.71       0.711
45      0.765       0.713       0.714
55      0.773       0.716       0.717
65      0.781       0.718       0.72
75      0.788       0.719       0.722
85      0.791       0.719       0.722
95      0.797       0.721       0.724
105      0.801       0.72       0.723
115      0.803       0.721       0.724
125      0.808       0.722       0.725
135      0.81       0.722       0.725
145      0.813       0.722       0.726
155      0.815       0.722       0.726
165      0.818       0.723       0.727
175      0.821       0.724       0.728
185      0.823       0.724       0.729
195      0.824       0.723       0.728
205      0.825       0.724       0.729
