	f	k	p	r
0	0.7060784688875088	1	0.8702574469417079	0.65314511029275
1	0.6915564406462439	6	0.8059095593489176	0.6651601383774133
2	0.7117125466538466	11	0.7782097929690432	0.6981177695941673
3	0.7195701930136383	16	0.7637787792074959	0.7142060037942194
4	0.7275373626268626	21	0.7672161123812572	0.7252724770300933
5	0.73227324029359	26	0.7716972289953014	0.7313915857605178
6	0.7335561995855379	31	0.77379246917052	0.7333816910315069
7	0.7367848728114441	36	0.7782195714560314	0.737082914853253
8	0.7375414988968348	41	0.7802439163462681	0.7380128705873601
9	0.7394209131773907	46	0.7839136405680859	0.7400587732023955
10	0.7411664021226594	51	0.787203018831056	0.7418070899825169
11	0.7416023404999805	56	0.7893760934375668	0.7424208607670275
12	0.742494985368489	61	0.7923016287314535	0.7432950191570882
13	0.7431415694455691	66	0.7943078646585666	0.7438901908269167
14	0.7432551040949816	71	0.795644821796957	0.743945988170963
15	0.7436508075631301	76	0.7976791788195993	0.7442249748911952
16	0.7432429397516719	81	0.7980585387480609	0.7438715917122345
17	0.7437846734522089	86	0.8002258649539207	0.7443737678086523
18	0.7438930460378708	91	0.8011484211953961	0.7443923669233344
19	0.7448306136319471	96	0.8033527229617017	0.745378120001488
